tracker_id,call_id,tracker_name,tracker_category,mention_count
1,1,Competitor - CompetitorE,Competitor,5
2,1,Pricing - Volume Discount,Pricing,5
3,1,Security - Penetration Testing,Security,2
4,1,Pricing - Too Expensive Objection,Pricing,1
5,1,Technical - Performance Requirements,Technical,1
6,1,Decision Maker Involved,Buying Signal,6
7,3,Budget - Freeze Mentioned,Budget,7
8,3,Security - Data Residency,Security,5
9,3,Risk - Champion Leaving,Risk,2
10,3,Risk - Stakeholder Pushback,Risk,8
11,5,Next Steps Discussed,Buying Signal,3
12,5,Objection - Team Adoption Concern,Objection,5
13,6,Discount - Competitive Match,Discount,7
14,6,Pricing - Enterprise Tier,Pricing,7
15,6,Objection - Switching Cost,Objection,1
16,7,Budget - Freeze Mentioned,Budget,5
17,7,Risk - Competitor Evaluation,Risk,8
18,7,,,3
19,7,Technical - Performance Requirements,Technical,5
20,7,Decision Timeline Confirmed,Buying Signal,2
21,8,,,4
22,8,Pricing - Too Expensive Objection,Pricing,1
23,8,Security - GDPR Compliance,Security,2
24,8,Budget - Freeze Mentioned,Budget,1
25,9,Technical - Custom Workflow Needs,Technical,6
26,9,Risk - Stakeholder Pushback,Risk,1
27,10,Competitor - CompetitorB,Competitor,2
28,10,Pricing - Requested Quote,Pricing,7
29,10,Objection - Too Complex,Objection,7
30,10,Objection - Team Adoption Concern,Objection,4
31,10,Budget - Reallocating Funds,Budget,5
32,11,Pricing - Too Expensive Objection,Pricing,2
33,11,Risk - Competitor Evaluation,Risk,8
34,11,Competitor - CompetitorB,Competitor,3
35,13,Competitor - CompetitorA,Competitor,2
36,13,Objection - Too Complex,Objection,1
37,13,Security - SSO Requirement,Security,2
38,13,Competitor - CompetitorD,Competitor,3
39,14,Competitor - CompetitorC,Competitor,5
40,14,,,4
41,14,Pricing - Volume Discount,Pricing,6
42,15,Reference Call Requested,Buying Signal,2
43,16,Budget - Reallocating Funds,Budget,3
44,16,Pricing - Compared to Competitor,Pricing,3
45,16,Technical - Custom Workflow Needs,Technical,5
46,16,Pricing - Enterprise Tier,Pricing,2
47,17,Contract Review Started,Buying Signal,8
48,18,Discount - Multi-Year Ask,Discount,1
49,18,Decision Timeline Confirmed,Buying Signal,7
50,18,Procurement Process Started,Buying Signal,8
51,19,Discount - End of Quarter,Discount,8
52,19,Budget - Freeze Mentioned,Budget,8
53,19,Competitor - CompetitorC,Competitor,1
54,19,Pricing - Too Expensive Objection,Pricing,6
55,20,Competitor - CompetitorD,Competitor,3
56,20,Discount - Multi-Year Ask,Discount,8
57,20,Technical - Custom Workflow Needs,Technical,8
58,20,POC Requested,Buying Signal,6
59,22,Objection - Too Complex,Objection,1
60,22,Budget - Approved,Budget,4
61,25,Security - Penetration Testing,Security,2
62,25,Objection - Missing Feature,Objection,2
63,25,POC Requested,Buying Signal,3
64,26,Budget - Freeze Mentioned,Budget,1
65,31,Security - SOC2 Compliance,Security,3
66,31,Pricing - Requested Quote,Pricing,8
67,31,Contract Review Started,Buying Signal,4
68,31,Security - GDPR Compliance,Security,1
69,31,Risk - Delayed Timeline,Risk,4
70,32,Procurement Process Started,Buying Signal,4
71,32,Technical - SSO / SAML Setup,Technical,2
72,32,Budget - Reallocating Funds,Budget,3
73,34,Budget - Reallocating Funds,Budget,7
74,34,Technical - SSO / SAML Setup,Technical,4
75,35,Competitor - CompetitorB,Competitor,5
76,35,Objection - Too Complex,Objection,3
77,36,POC Requested,Buying Signal,3
78,37,Security - SSO Requirement,Security,5
79,41,Competitor - CompetitorE,Competitor,7
80,41,Technical - API Integration,Technical,1
81,41,Competitor - CompetitorB,Competitor,5
82,44,Competitor - CompetitorA,Competitor,6
