call_id,opp_id,owner_id,call_date,duration_minutes,direction,call_type,disposition,num_participants,talk_ratio_rep,longest_monologue_sec,question_count,next_steps_mentioned
1,881,11,2023-03-27T10:00:00,52,Outbound,QBR,Completed,3,0.72,169,10,True
2,2659,11,2030-06-15T10:00:00,,Outbound,Check-In,Completed,8,0.49,137,18,False
3,4486,2,2024-08-09T12:15:00,30,Outbound,Technical Deep Dive,Completed,7,0.46,103,20,True
4,3846,5,2024-10-14T14:15:00,26,Outbound,Technical Deep Dive,Rescheduled,1,,,0,False
5,2374,1,2024-01-22T12:15:00,26,Outbound,Technical Deep Dive,Completed,2,0.54,222,16,True
6,3533,7,2024-10-24T10:15:00,32,Inbound,Negotiation,Completed,3,0.56,203,5,False
7,3981,4,2022-11-15T15:30:00,40,Outbound,Demo,Completed,7,0.43,43,17,False
8,4624,8,2024-11-04T12:45:00,58,Outbound,Demo,Completed,7,0.68,193,16,True
9,2303,13,2024-12-21T13:00:00,16,Outbound,QBR,Completed,2,0.63,138,7,False
10,2218,9,2024-11-28T12:00:00,45,Outbound,Discovery,Completed,2,0.5,77,5,True
11,2245,5,2022-06-09T12:15:00,33,Outbound,Follow-Up,Completed,5,1.41,93,10,False
12,4686,8,2024-06-28T09:30:00,35,Outbound,Negotiation,Rescheduled,1,,,0,False
13,3196,5,2023-02-07T12:00:00,49,Outbound,Check-In,Completed,7,0.62,222,10,True
14,2740,14,2024-12-20T13:30:00,42,Outbound,Discovery,Completed,8,0.71,47,6,False
15,4895,13,2024-09-21T14:15:00,50,Outbound,Technical Deep Dive,Completed,2,0.55,164,9,True
16,4451,16,2024-11-21T12:15:00,26,Inbound,Negotiation,Completed,4,0.63,134,8,True
17,1011,3,2023-03-21T12:15:00,15,Inbound,Check-In,Completed,5,0.35,39,4,True
18,4900,11,2024-04-05T10:45:00,35,Inbound,Follow-Up,Completed,3,1.25,226,17,True
19,3933,16,2024-12-27T17:45:00,35,Outbound,Technical Deep Dive,Completed,2,0.58,83,8,False
20,1778,12,2024-11-04T12:00:00,28,Inbound,QBR,Completed,8,0.42,31,6,True
21,1165,12,2023-04-09T16:45:00,0,Inbound,Technical Deep Dive,No Show,1,,,0,False
22,2376,14,2024-12-26T14:45:00,20,Outbound,Technical Deep Dive,Completed,4,0.61,219,9,False
23,4628,2,2022-09-02T09:30:00,,Outbound,Technical Deep Dive,Completed,4,0.34,84,12,True
24,3697,2,2024-10-27T09:00:00,51,Outbound,Technical Deep Dive,Rescheduled,1,,,0,False
25,1560,2,2021-07-19T11:15:00,52,Outbound,Check-In,Completed,8,0.46,212,10,True
26,2455,14,2023-04-10T10:00:00,18,Outbound,Check-In,Completed,5,0.82,257,2,False
27,3958,2,2030-06-15T10:00:00,17,Outbound,Discovery,Completed,2,0.4,88,20,True
28,2773,16,2024-12-07T10:15:00,2,Inbound,Technical Deep Dive,Voicemail,1,,,0,False
29,3773,3,2022-12-10T15:45:00,20,Outbound,Discovery,Completed,3,0.29,107,15,True
30,4216,7,2024-11-03T13:45:00,0,Outbound,Demo,No Show,1,,,0,False
31,3865,15,2024-12-07T11:00:00,48,Outbound,Negotiation,Completed,4,0.74,120,15,True
32,3304,2,2024-06-18T15:45:00,42,Outbound,Check-In,Completed,8,0.39,78,9,False
33,4869,8,2024-09-13T12:45:00,0,Outbound,Discovery,No Show,1,,,0,False
34,4761,11,2024-12-04T10:15:00,29,Outbound,QBR,Completed,6,0.58,63,16,True
35,1519,10,2024-12-14T11:30:00,25,Outbound,QBR,Completed,6,0.33,180,14,True
36,228,11,2024-12-30T16:45:00,24,Outbound,Discovery,Completed,8,0.54,65,13,True
37,1454,4,2024-08-28T12:30:00,34,Outbound,Check-In,Completed,7,0.45,235,11,True
38,523,15,2024-11-30T09:00:00,-3,Inbound,Demo,Voicemail,1,,,0,False
39,2187,9,2024-12-12T11:30:00,28,Outbound,Check-In,Completed,8,0.77,172,13,False
40,4868,11,2024-02-17T17:45:00,25,Outbound,Discovery,Completed,4,0.67,257,11,False
41,1058,13,2024-07-10T11:30:00,30,Outbound,Negotiation,Completed,6,0.57,44,13,True
42,1604,10,2023-10-17T13:30:00,-54,Outbound,Demo,Completed,3,1.47,222,16,False
43,1178,12,2022-12-22T11:30:00,28,Outbound,QBR,Completed,4,0.8,160,1,False
44,1919,8,2024-04-23T15:45:00,38,Inbound,Follow-Up,Completed,6,1.06,42,14,False
45,4782,16,2024-07-31T09:15:00,58,Outbound,Demo,Completed,7,0.6,106,11,False
46,1361,5,2023-09-23T09:15:00,26,Outbound,QBR,Completed,3,0.45,30,8,True
47,3606,8,2024-04-26T08:00:00,55,Inbound,QBR,Completed,3,0.65,154,18,True
48,1192,1,2024-11-28T15:15:00,49,Inbound,Check-In,Completed,7,0.33,74,8,False
49,4428,14,2022-05-03T16:15:00,0,Outbound,Technical Deep Dive,No Show,1,,,0,False
50,4311,13,2023-10-08T15:15:00,31,Outbound,Negotiation,Completed,8,0.42,137,11,False
51,315,12,2023-09-20T15:15:00,29,Outbound,Demo,Completed,8,0.6,83,3,True
52,992,13,2024-07-23T11:30:00,23,Inbound,Check-In,Completed,8,0.58,222,11,False
53,2441,1,2024-10-31T16:45:00,51,Outbound,Technical Deep Dive,Completed,3,0.44,55,24,True
54,1751,1,2024-12-26T13:30:00,17,Outbound,Negotiation,Completed,6,0.35,216,7,True
55,4174,15,2024-10-19T17:00:00,46,Outbound,Negotiation,Completed,7,0.68,36,15,False
56,489,16,2024-10-22T13:30:00,39,Outbound,QBR,Completed,5,0.75,62,11,True
57,4740,4,2024-12-19T17:00:00,25,Outbound,Technical Deep Dive,Completed,4,0.63,232,15,True
58,662,5,2021-04-06T14:00:00,2,Outbound,Discovery,Voicemail,1,,,0,False
59,2127,5,2024-08-21T11:15:00,-23,Outbound,Demo,Completed,5,1.11,128,24,True
60,18,8,2024-09-20T14:15:00,50,Outbound,Follow-Up,Completed,2,0.36,79,9,False
61,208,16,2024-12-27T13:45:00,53,Outbound,Demo,Rescheduled,1,,,0,False
62,1307,3,2023-12-26T15:30:00,0,Outbound,Demo,No Show,1,,,0,False
63,4403,8,2022-10-02T15:00:00,32,Inbound,Discovery,Rescheduled,1,,,0,False
64,997,1,2024-07-06T10:45:00,36,Inbound,Demo,Completed,6,0.5,133,24,True
65,2370,12,2024-05-21T15:45:00,27,Outbound,Technical Deep Dive,Completed,4,0.58,220,4,False
66,418,6,2024-11-06T14:15:00,18,Outbound,Technical Deep Dive,Completed,7,0.53,41,10,False
67,2593,11,2024-07-26T08:30:00,18,Outbound,Demo,Rescheduled,1,,,0,False
68,33,3,2024-02-13T11:30:00,44,Inbound,Technical Deep Dive,Completed,4,0.36,130,20,True
69,521,2,2024-05-11T12:00:00,53,Inbound,Check-In,Completed,7,0.46,69,18,False
70,2897,6,2024-09-03T11:15:00,44,Outbound,Follow-Up,Completed,6,0.39,168,16,True
71,1519,10,2024-12-03T12:30:00,36,Outbound,Discovery,Completed,4,1.19,151,13,True
72,3701,3,2024-12-03T10:00:00,43,Outbound,Check-In,Completed,3,0.47,179,15,True
73,2732,7,2021-10-05T13:30:00,37,Outbound,Negotiation,Rescheduled,1,,,0,False
74,4680,7,2024-06-14T12:45:00,0,Outbound,QBR,No Show,1,,,0,False
75,3454,10,2023-12-05T16:45:00,20,Inbound,Demo,Rescheduled,1,,,0,False
76,1997,1,2021-10-08T13:30:00,0,Inbound,Check-In,No Show,1,,,0,False
77,1050,5,2024-06-26T13:45:00,47,Outbound,Check-In,Completed,7,0.57,69,19,True
78,2213,14,2024-12-18T12:45:00,0,Outbound,Demo,No Show,1,,,0,False
79,3220,4,2030-06-15T10:00:00,22,Outbound,Technical Deep Dive,Completed,3,0.5,143,6,False
