contact_role_id,contact_id,opp_id,role,is_primary
1,2507,1,Technical Evaluator,False
2,255,2,Coach,False
3,66,2,Legal Reviewer,False
4,1054,3,Economic Buyer,True
5,1127,1,Champion,True
6,1700,5,Executive Sponsor,True
7,2511,6,Technical Evaluator,False
8,393,6,Coach,False
9,1799,7,Economic Buyer,True
10,343,8,Blocker,False
11,2002,9,End User,False
12,529,10,End User,False
13,2169,10,Technical Evaluator,False
14,494,1,End User,False
15,2557,1,Champion,True
16,2663,12,Champion,True
17,351,1,Executive Sponsor,True
18,145,1,Technical Evaluator,False
19,517,1,Coach,False
20,912,1,Economic Buyer,True
21,2353,14,Economic Buyer,True
22,966,14,Coach,False
23,2003,14,Champion,True
24,1179,15,Champion,True
25,2639,17,Technical Evaluator,False
26,580,19,Executive Sponsor,True
27,991,20,Blocker,False
28,1198,21,Executive Sponsor,True
29,441,22,End User,False
30,209,23,End User,False
31,1683,23,Blocker,False
32,2960,24,Economic Buyer,True
33,2274,25,End User,False
34,795,25,Executive Sponsor,True
35,1704,26,Champion,True
36,641,27,Champion,True
37,2325,28,End User,False
38,1342,28,Technical Evaluator,False
39,541,29,Technical Evaluator,False
40,878,30,Executive Sponsor,True
41,723,31,Technical Evaluator,False
42,2548,32,Blocker,False
43,248,33,Technical Evaluator,False
44,444,34,Champion,True
45,1417,34,Legal Reviewer,False
46,516,35,Champion,True
47,2152,36,Legal Reviewer,False
48,381,37,Coach,False
49,1664,38,Technical Evaluator,False
50,1563,1,Technical Evaluator,False
51,610,40,End User,False
52,1465,41,Champion,True
53,1252,42,Technical Evaluator,False
54,1976,43,Technical Evaluator,False
55,1007,44,Champion,True
56,2567,44,Legal Reviewer,False
57,1120,45,Economic Buyer,True
58,1592,45,Champion,True
59,2982,46,Economic Buyer,True
60,243,46,Coach,False
61,2285,46,Champion,True
62,1538,47,End User,False
63,228,47,Executive Sponsor,True
64,2782,48,Technical Evaluator,False
65,513,49,Coach,False
66,1918,50,Technical Evaluator,False
67,514,51,Blocker,False
68,737,52,Technical Evaluator,False
69,1956,52,Executive Sponsor,True
70,415,52,Legal Reviewer,False
71,938,53,Technical Evaluator,False
72,1102,53,End User,False
73,2267,53,Executive Sponsor,True
74,2666,54,Coach,False
75,1647,54,Technical Evaluator,False
76,244,54,Economic Buyer,True
77,1643,55,Economic Buyer,True
78,1246,56,Blocker,False
79,2401,56,Economic Buyer,True
80,1929,57,End User,False
81,2797,57,Champion,True
82,2357,58,Blocker,False
83,1149,59,Coach,False
84,573,59,End User,False
85,2196,59,Economic Buyer,True
86,78,59,Champion,True
87,231,60,Executive Sponsor,True
88,247,61,Executive Sponsor,True
89,813,62,Legal Reviewer,False
90,274,63,End User,False
91,317,64,Champion,True
92,1816,65,Technical Evaluator,False
93,2251,66,Technical Evaluator,False
94,2997,66,Coach,False
95,2250,66,Economic Buyer,True
96,1167,67,Technical Evaluator,False
97,220,68,Technical Evaluator,False
98,2001,69,Economic Buyer,True
99,406,70,Champion,True
100,2180,71,End User,False
101,1857,71,Technical Evaluator,False
102,2344,72,Economic Buyer,True
103,71,73,Technical Evaluator,False
104,2401,74,Champion,True
105,1654,74,End User,False
106,1708,74,Technical Evaluator,False
107,2553,75,Technical Evaluator,False
108,1174,76,Executive Sponsor,True
109,2119,77,Coach,False
110,436,78,Economic Buyer,True
111,2357,79,Champion,True
112,2525,80,Executive Sponsor,True
113,2158,80,Technical Evaluator,False
114,1999,80,Coach,False
115,1063,81,Technical Evaluator,False
116,1472,82,Technical Evaluator,False
117,1645,83,Economic Buyer,True
118,305,83,End User,False
119,1487,83,Technical Evaluator,False
120,2504,84,Economic Buyer,True
121,1274,85,Champion,True
122,2874,86,End User,False
123,2398,87,Technical Evaluator,False
124,2387,88,Champion,True
125,26,89,Executive Sponsor,True
126,166,90,Technical Evaluator,False
127,2267,91,Champion,True
128,1102,91,End User,False
129,830,92,End User,False
130,725,92,Coach,False
131,2836,93,Champion,True
132,1944,93,Technical Evaluator,False
133,695,93,End User,False
134,515,94,Executive Sponsor,True
135,2470,94,End User,False
136,1729,95,Coach,False
137,2486,96,Economic Buyer,True
138,125,97,End User,False
139,1837,98,End User,False
140,1765,99,End User,False
141,1912,99,Executive Sponsor,True
142,2747,100,End User,False
143,1437,101,Economic Buyer,True
144,1165,101,Technical Evaluator,False
145,2474,101,End User,False
146,163,102,Technical Evaluator,False
147,1080,102,End User,False
148,155,103,End User,False
149,2405,103,Technical Evaluator,False
150,1863,104,Coach,False
151,1044,104,End User,False
152,1000,105,End User,False
153,457,106,Champion,True
154,1234,107,End User,False
155,271,107,Economic Buyer,True
156,270,108,Technical Evaluator,False
157,2990,108,Blocker,False
158,518,109,Technical Evaluator,False
159,2770,109,Economic Buyer,True
160,624,110,Champion,True
161,2413,110,Legal Reviewer,False
162,2347,110,Technical Evaluator,False
163,488,110,Executive Sponsor,True
164,2395,110,End User,False
165,197,111,Champion,True
166,1171,112,End User,False
167,2871,113,Champion,True
168,246,113,Legal Reviewer,False
169,1931,114,Coach,False
170,2904,114,Champion,True
171,987,115,End User,False
172,1935,115,Coach,False
173,2239,115,Technical Evaluator,False
174,1108,116,Technical Evaluator,False
175,2719,117,Legal Reviewer,False
176,688,120,Champion,True
177,175,120,Blocker,False
178,1767,120,End User,False
179,1919,21,Economic Buyer,True
180,1900,21,Legal Reviewer,False
181,1506,122,Legal Reviewer,False
182,1456,123,End User,False
183,2236,124,Blocker,False
184,1376,126,End User,False
185,2165,127,End User,False
186,350,128,Technical Evaluator,False
187,2701,129,Economic Buyer,True
188,1837,130,Technical Evaluator,False
189,1905,76,Economic Buyer,True
190,2421,132,Blocker,False
191,1828,132,Champion,True
192,1479,133,Coach,False
193,597,133,Technical Evaluator,False
194,184,134,Champion,True
195,2764,135,Champion,True
196,2709,136,Technical Evaluator,False
197,622,136,Champion,True
198,139,136,Executive Sponsor,True
199,774,136,Coach,False
200,2548,137,End User,False
201,247,138,Coach,False
202,2972,138,Blocker,False
203,779,139,End User,False
204,2727,141,Economic Buyer,True
205,549,142,End User,False
206,1060,143,Executive Sponsor,True
207,522,144,Economic Buyer,True
208,51,145,Economic Buyer,True
209,1939,145,End User,False
210,2263,145,Champion,True
211,1725,146,End User,False
212,1803,147,Technical Evaluator,False
213,2644,147,Economic Buyer,True
214,1491,148,Technical Evaluator,False
215,1039,148,Blocker,False
216,2354,148,End User,False
217,1796,149,Economic Buyer,True
218,1400,152,Champion,True
219,2811,153,Blocker,False
220,2673,154,End User,False
221,541,155,End User,False
222,2593,156,Champion,True
223,1371,157,Champion,True
224,2664,157,Economic Buyer,True
225,1007,158,Technical Evaluator,False
226,2692,159,Technical Evaluator,False
227,2360,159,End User,False
228,292,160,Coach,False
229,373,161,Economic Buyer,True
230,142,161,Blocker,False
231,511,162,Technical Evaluator,False
232,2931,163,Technical Evaluator,False
233,2056,163,Champion,True
234,2441,164,Champion,True
235,215,165,Legal Reviewer,False
236,2294,18,End User,False
237,823,18,Coach,False
238,923,18,Technical Evaluator,False
239,2110,167,Economic Buyer,True
240,1109,168,End User,False
241,2885,169,Champion,True
242,341,170,End User,False
243,103,171,End User,False
244,1824,172,Economic Buyer,True
245,1116,174,End User,False
246,60,175,End User,False
247,890,175,Technical Evaluator,False
248,1827,176,Economic Buyer,True
249,2960,177,Economic Buyer,True
250,1130,177,Coach,False
251,1952,177,Champion,True
252,1403,178,Economic Buyer,True
253,562,179,End User,False
254,153,180,Champion,True
255,457,181,Economic Buyer,True
256,2509,182,Executive Sponsor,True
257,50,183,Technical Evaluator,False
258,884,183,End User,False
