activity_id,lead_id,campaign_id,activity_type,activity_date,utm_source
1,7983,120,Form Fill,2020-04-17T13:37:00,linkedin
2,200,4,Webinar Registration,2022-08-26T18:18:00,
3,5013,22,Page Visit,2024-10-03T21:11:00,google
4,245,181,Webinar Registration,2020-06-01T05:07:00,
5,328,6,Form Fill,2024-12-05T00:41:00,
6,5086,54,Ad Click,2020-08-03T05:16:00,referral
7,2188,23,Email Click,2023-12-17T15:40:00,
8,6786,25,Page Visit,2020-08-16T17:25:00,facebook
9,6702,182,Content Download,2022-01-08T16:22:00,
10,2392,20,Webinar Attended,2023-10-28T02:34:00,
11,6663,108,Page Visit,2024-12-02T00:00:00,google
12,2088,27,Webinar Attended,2022-04-19T11:19:00,
13,325,161,Form Fill,2022-03-27T06:17:00,referral
14,2068,37,Email Open,2022-10-27T21:01:00,
15,1988,28,Webinar Attended,2022-12-08T22:31:00,
16,704,,Ad Click,2023-01-20T14:34:00,
17,7470,124,Ad Click,2021-07-31T06:01:00,twitter
18,3405,180,Form Fill,2024-04-03T09:45:00,linkedin
19,5356,183,Form Fill,2020-08-22T23:46:00,twitter
20,7006,197,Email Open,2024-08-07T03:02:00,
21,511,81,Email Open,2021-04-15T05:41:00,
22,7578,116,Form Fill,2020-11-27T03:42:00,
23,6608,45,Webinar Registration,2022-05-21T19:33:00,
24,5536,191,Content Download,2023-07-21T00:20:00,
25,7986,192,,2023-06-08T09:50:00,linkedin
26,6303,98,Page Visit,2020-03-07T12:07:00,direct
27,98,44,Page Visit,2022-02-03T05:39:00,referral
28,1221,198,Form Fill,2020-02-26T12:42:00,facebook
29,4089,105,Page Visit,2020-04-16T04:55:00,facebook
30,2498,86,Form Fill,2023-12-01T21:05:00,referral
31,2681,51,Email Bounce,2021-05-23T04:05:00,
32,7827,3,Page Visit,2021-12-10T09:48:00,direct
33,5271,126,Webinar Registration,2021-05-04T05:34:00,
34,1214,65,Form Fill,2021-11-28T20:58:00,linkedin
35,6429,113,Email Open,2023-02-01T05:19:00,
36,5330,44,Page Visit,2021-12-16T09:21:00,linkedin
37,7603,73,Unsubscribe,2021-09-29T20:08:00,
38,976,170,Form Fill,2023-11-22T05:56:00,linkedin
39,6316,50,Form Fill,2020-04-18T21:12:00,facebook
40,4302,67,Webinar Attended,2020-10-15T15:36:00,
41,1084,155,Webinar Attended,2022-07-09T04:49:00,
42,1383,159,Webinar Registration,2023-08-28T02:51:00,
43,5364,141,Page Visit,2023-11-13T15:06:00,
44,4643,113,Email Open,2022-10-31T12:00:00,
45,3106,116,Webinar Registration,2020-12-03T01:45:00,
46,5167,38,Webinar Registration,2023-02-12T10:18:00,
47,933,178,Email Click,2020-03-31T17:36:00,
48,1909,92,Email Click,2022-08-30T09:08:00,
49,1084,158,Email Open,2020-12-22T18:38:00,
50,574,34,Email Click,2020-03-10T20:27:00,
51,3264,51,Email Bounce,2021-05-31T06:04:00,
52,5221,176,Form Fill,2023-08-15T12:43:00,google
53,4286,56,Webinar Registration,2024-10-06T00:12:00,
54,7341,49,Email Open,2024-01-08T20:31:00,
55,6001,43,Form Fill,2021-06-04T21:56:00,facebook
56,949,16,Content Download,2024-11-19T06:10:00,
57,6672,168,Email Open,2023-04-09T19:41:00,
58,4477,193,Email Click,2022-02-23T23:53:00,
59,6178,26,Email Bounce,2024-11-24T21:48:00,
60,2507,119,Ad Click,2024-10-10T13:20:00,referral
61,5814,110,Email Open,2020-07-17T06:43:00,
62,1334,23,Form Fill,2023-12-20T07:38:00,facebook
63,530,,Email Open,2020-05-10T12:58:00,
64,2592,182,Ad Click,2022-03-18T23:31:00,referral
65,5241,134,Page Visit,2023-10-20T17:24:00,google
66,796,163,Email Open,2022-06-11T15:01:00,
