stage_history_id,opp_id,stage,entered_at,exited_at,days_in_stage
1,1,Prospecting,2023-09-21T00:00:00,2023-10-04T00:00:00,13
2,1,Discovery,2023-10-04T00:00:00,2023-10-24T00:00:00,20
3,1,Qualification,2023-10-24T00:00:00,2023-11-09T00:00:00,16
4,1,Proposal,2023-11-09T00:00:00,,
5,2,Prospecting,2024-06-30T00:00:00,2024-07-09T00:00:00,9
6,2,Discovery,2024-07-09T00:00:00,,
7,3,Prospecting,2023-05-14T00:00:00,2023-05-25T00:00:00,11
8,3,Discovery,2023-05-25T00:00:00,2023-06-09T00:00:00,15
9,3,Qualification,2023-06-09T00:00:00,,
10,1,Prospecting,2021-06-23T00:00:00,2021-07-10T00:00:00,17
11,1,Discovery,2021-07-10T00:00:00,2021-07-24T00:00:00,14
12,1,Qualification,2021-07-24T00:00:00,2021-08-26T00:00:00,33
13,1,Proposal,2021-08-26T00:00:00,2021-08-31T00:00:00,5
14,1,Negotiation,2021-08-31T00:00:00,2021-10-15T00:00:00,45
15,1,Closed Won,2021-10-15T00:00:00,2021-10-15T00:00:00,0
16,5,Prospecting,2022-10-24T00:00:00,,
17,6,Prospecting,2024-06-05T00:00:00,2024-06-17T00:00:00,12
18,6,Discovery,2024-06-17T00:00:00,,
19,7,Prospecting,2024-09-14T00:00:00,2024-10-03T00:00:00,19
20,7,Discovery,2024-10-03T00:00:00,2024-10-19T00:00:00,16
21,7,Qualification,2024-10-19T00:00:00,2024-11-12T00:00:00,24
22,7,Proposal,2024-11-12T00:00:00,2024-11-20T00:00:00,8
23,7,Negotiation,2024-11-20T00:00:00,2024-12-21T00:00:00,31
24,7,Closed Won,2024-12-21T00:00:00,2024-12-28T00:00:00,7
25,7,Closed Lost,2024-12-28T00:00:00,2024-12-28T00:00:00,0
26,8,Prospecting,2024-10-10T00:00:00,2024-10-22T00:00:00,12
27,8,Discovery,2024-10-22T00:00:00,2024-11-04T00:00:00,13
28,8,Qualification,2024-11-04T00:00:00,2024-11-19T00:00:00,15
29,8,Proposal,2024-11-19T00:00:00,,
30,9,Prospecting,2024-08-08T00:00:00,2024-08-16T00:00:00,8
31,9,Discovery,2024-08-16T00:00:00,,
32,10,Prospecting,2021-04-15T00:00:00,2021-04-22T00:00:00,7
33,10,Discovery,2021-04-22T00:00:00,2021-05-09T00:00:00,17
34,10,Qualification,2021-05-09T00:00:00,2021-05-26T00:00:00,17
35,10,Proposal,2021-05-26T00:00:00,,
